Product name,link,nutritional_info/Grasimi,nutritional_info/Valoare energetica,nutritional_info/Glucide,nutritional_info/Fibre,nutritional_info/Sodiu,nutritional_info/Proteine,nutritional_info/Grasimi saturate,Ingrediente,Alergeni
Baton de ciocolata cu stafide si crema de rom 30g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-stafide-si-crema-de-rom-30g/p/33943,18 g/100 g,446 kcal/100 g,67 g/100 g,N/A,<0.01 g/100 g,2.1 g/100 g,7.5 g/100 g,"Umplutura 82% (zahar, sirop de glucoza, grasime vegetala hidrogenata (palmier, SOIA, rapita, shea), pudra de cacao cu continut redus de grasime, stafide 1%, alcool etilic rafinat de origine agricola, derivat din zer pudra (LAPTE), grasime vegetala partial hidrogenata ?SOIA, palmier, rapita, shea), emulsifianti (lecitina din SOIA, E476), arome, rom 0.1%?, glazura de cacao 18% ?zahar, grasime vegetala hidrogenata (palmier, SOIA, rapita, shea), pudra de cacao cu continut redus de grasime 2.8%, emulsifianti (lecitina din SOIA, E476), aroma. Continut de cacao (in invelis): min 15.5%.","Contine: gluten din grau, lapte, ou, soia. Poate contine urme de arahide si alune. Continut de alcool."
Ciocolata cu crema cu aroma de capsuni 26g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Ciocolata-cu-crema-cu-aroma-de-capsuni-26g/p/91100,18 g/100 g,449 kcal/100 g,68 g/100 g,1 g/100 g,0.19 g/100 g,3.1 g/100 g,13 g/100 g,"Sirop de glucoza, zahar, grasimi vegetale (palmier, shea), masa de cacao, unt de cacao, LAPTE praf degresat, ZER pudra (LAPTE), UNT, albus de OU pudra, emulsifianti (lecitina de SOIA, poliricinoleat de poliglicerol, lecitina de floarea soarelui), arome, apa, colorant (Carmin), antioxidant (Acid citric). Ciocolata cu lapte contine: substanta uscata de cacao: 25% minim.","Contine: lapte, ou si soia. Poate contine urme de fructe cu coaja lemnoasa si gluten."
Ciocolata cu lapte alpin 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-alpin-100g/p/3680,29 g/100 g,532 kcal/100 g,59 g/100 g,1.8 g/100 g,0.27 g/100 g,6.1 g/100 g,17 g/100 g,"Zahar, unt de cacao, LAPTE praf degresat, masa cacao, ZER praf (LAPTE), grasime din LAPTE, emulsifiant (lecitine din SOIA), pasta de ALUNE de padure, aroma. Substanta uscata de cacao: 30% minimum.","Contine lapte, soia si alune de padure. Poate contine alte fructe cu coaja lemnoasa si grau."
Ciocolata amaruie 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-amaruie-100g/p/71847,31 g/100 g,525 kcal/100 g,50 g/100 g,N/A,<0.01 g/100 g,6.4 g/100 g,19 g/100 g,"Zahar, pasta de cacao, unt de cacao, UNT concentrat, emulgator (lecitina de SOIA), extract de vanilie. Ciocolata amara - cacao: min.50%.","Contine: soia si lapte. Poate contine urme de: arahide, fructe cu coaja, gluten si oua."
Napolitana cu lapte si umplutura de lapte si alune 43g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Napolitana-cu-lapte-si-umplutura-de-lapte-si-alune-43g/p/3634,37.3 g/100 g,572 kcal/100 g,49.5 g/100 g,N/A,0.272 g/100 g,8.6 g/100 g,N/A,"Ciocolata cu lapte 31.5% (zahar, unt de cacao, masa de cacao, lapte praf degresat, unt deshidratat, emulgator: lecitina (soia), vanilina), zahar, ulei vegetal, faina de grau, alune (10.8%), lapte praf degresat, lapte praf integral, ciocolata (zahar, masa de cacao, unt de cacao, emulgator: lecitina (soia), vanilina), cacao degresata pudra, emulgator: lecitina (soia), agenti de afanare (bicarbonat de sodiu, carbonat de amoniu), sare, vanilina. Substanta uscata de cacao min. 25% in ciocolata cu lapte, min 35% in ciocolata. Total lapte in substanta solida uscata: 19.5%.",N/A
"Ou de ciocolata cu surpriza, unisex 20g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Alte-tipuri-de-ciocolata/Ou-de-ciocolata-cu-surpriza-unisex-20g/p/3927,36.2 g/100 g,552 kcal/100 g,52.3 g/100 g,N/A,0.23 g/100 g,8.1 g/100 g,22.6 g/100 g,"Ciocolata cu LAPTE 47% (zahar, LAPTE praf integral, unt de cacao, masa de cacao, emulgator lecitina (SOIA), vanilina, LAPTE praf degresat, zahar, grasimi vegetale (palmier, shea), UNT deshidratat, emulgator: lecitina (SOIA), vanilina. Substanta uscata de cacao: min.30% in ciocolata cu lapte. Total lactate: 32%.",N/A
Baton de ciocolata cu crema de rom 30g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-crema-de-rom-30g/p/28815,23.9 g/100 g,480 kcal/100 g,62.2 g/100 g,N/A,N/A,3.5 g/100 g,N/A,"Zahar, grasime vegetala hidrogenata, pudra de cacao cu continut redus de grasime, masa de cacao, sirop de glucoza, agent de umezire (sirop de sorbitol), alcool etilic rafinat, zer praf, lapte praf degresat, rom (0.1%), stabilizator (invertaza), emulgator (lecitina din soia), arome. Contine cacao (in invelis): min. 22%. Continut de alcool: max. 1.6%.",Contine lapte si soia.
"Baton de ciocolata cu nuga, caramel si arahide 50g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-nuga-caramel-si-arahide-50g/p/21819,23 g/100 g,481 kcal/100 g,61 g/100 g,N/A,0.63 g/100 g,8.6 g/100 g,7.9 g/100 g,"Zahar, sirop de glucoza, ARAHIDE, LAPTE praf degresat, unt de cacao, masa de cacao, ulei de floarea soarelui, LACOTZA, grasimi din LAPTE, pudra de zer (din LAPTE), grasime de palmier, sare, emulsificator (lecitina din SOIA), pudra de albus de OU, proteine din LAPTE, extract natural de vanilie.","Arahide, lapte, soia, ou. Poate contine aluna."
Batoane de ciocolata cu lapte 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Batoane-de-ciocolata-cu-lapte-100g/p/3636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ciocolata cu lapte si arahide 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-arahide-90g/p/89853,32 g/100 g,535 kcal/100 g,52 g/100 g,4.1 g/100 g,0.14 g/100 g,8.2 g/100 g,N/A,"Zahar, arahide (18%), grasime vegetala (palmier, Shea), zer praf (din lapte), cacao cu continut redus de grasime, emulsiicatori (lecitina din soia, E476, lecitina din floarea soarelui), lapte praf degresat ( 0.8%), aroma.Tableta cu lapte contine substanta uscata de cacao 8% minimum.",Poate contine varietati similare de nuci.
