_key,link,nutritional_info/Grasimi,nutritional_info/Valoare energetica,nutritional_info/Glucide,nutritional_info/Fibre,nutritional_info/Sodiu,nutritional_info/Proteine,nutritional_info/Grasimi saturate,Ingrediente,Alergeni
Pufuleti cu sare 45g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Snacks-uri-si-pufuleti/Pufuleti-cu-sare-45g/p/68656,21.3 g/100 g,487 kcal/100 g,66.8 g/100 g,0.9 g/100 g,0.7 g/100 g,6.5 g/100 g,9.1 g/100 g,"Malai grisat 80% (origine: Romania), ulei vegetal de palmier, sare.","Poate contine urme de gluten, lapte si derivati ai acestuia (inclusiv lactoza), soia, arahide, telina si fructe cu coaja lemnoasa."
Pufuleti 85g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Snacks-uri-si-pufuleti/Pufuleti-85g/p/18481,10 g/100 g,427 kcal/100 g,76.5 g/100 g,2.3 g/100 g,0.9 g/100 g,6.5 g/100 g,N/A,"Malai grisat, ulei vegetal de palmier, sare 0.9%.",N/A
Prajitura cu crema de lapte 35g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Prajituri-si-rulade/Prajitura-cu-crema-de-lapte-35g/p/28828,23.3 g/100 g,450 kcal/100 g,49.2 g/100 g,1.3 g/100 g,0.02 g/100 g,4.5 g/100 g,N/A,"Glazura cacao (34%) (zahar, grasime vegetala hidrogenata, pudra de cacao cu continut redus de grasime 5.3%, emulsifianti (lecitina din soia, poliricinoleat de poliglicerina), aroma), zahar, grasime vegetala hidrogenata, faina din grau, sirop de glucoza, oua, sirop de glucoza-fructoza, lapte praf degresat 3.3%, agenti de umezire (sirop de sorbitol, gliceirna), alcool etilic rafinat, pudra de cacao cu continut redus de grasime, agenti de afanare (pirofosfat acid de sodiu, bicarbonat de sodiu), emulsifiant (mono- si digliceride ale acizilor grasi, arome, sare, conservant (sorbat de potasiu). Continut de cacao (in invelis): min. 19%.","Contine: gluten din grau, ou, lapte, soia. Poate contine urme de arahide si alune."
Chipsuri din cartofi cu sare 140g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Sare/Chipsuri-din-cartofi-cu-sare-140g/p/54898,35 g/100 g,538 kcal/100 g,47 g/100 g,4.5 g/100 g,1.1 g/100 g,6.4 g/100 g,2.7 g/100 g,"Cartofi, uleiuri vegetale (floarea soarelui, rapita in proportii variabile), sare (1.1%).",N/A
Napolitana cu crema de cacao si glazura de ciocolata amaruie 50g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Napolitane/Napolitana-cu-crema-de-cacao-si-glazura-de-ciocolata-amaruie-50g/p/50243,30 g/100 g,527 kcal/100 g,56.7 g/100 g,4.3 g/100 g,0.4 g/100 g,5.4 g/100 g,16.1 g/100 g,"Zahar, grasimi vegetale (palmier, floarea soarelui, bumbac), masa de cacao 14%, sirop de glucoza, lapte praf, pudra de cacao 7%, zer praf (din lapte), faina de grau (contine gluten), amidon, unt (din lapte), emulsifiant (lecitina de floarea soarelui), ulei de nuca de cocos, unt de cacao, arome, agenti de afanare (carbonat acid de sodiu, carbonat acid de amoniu, pirofosfat acid de sodiu), sare.","Lapte, gluten. Poate contine alune, soia, susan si arahide."
Croissant cu umplutura cu cacao 85g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Croissant/Croissant-cu-umplutura-cu-cacao-85g/p/43599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ciocolata cu lapte cu interior crocant de napolitana 41.5g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Napolitane/Ciocolata-cu-lapte-cu-interior-crocant-de-napolitana-41-5g/p/17234,26.8 g/100 g,514 kcal/100 g,58.6 g/100 g,2.5 g/100 g,0.15 g/100 g,8.2 g/100 g,15.1 g/100 g,"Zahar, faina de GRAU, LAPTE praf degresat, unt de cacao, masa de cacao, grasimi vegetale (palmier, shea), grasime din LAPTE, cacao pudra cu continut redus de grasime, emulgatr (lecitine), agent de afanare (carbonati de sodiu). Ciocolata cu lapte contine substanta uscata de cacao: min.25%.",Contine gluten si lapte.
Biscuiti cu spuma de lapte si cocos 16g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-cu-crema/Biscuiti-cu-spuma-de-lapte-si-cocos-16g/p/13371,11.4 g/100 g,426 kcal/100 g,76.8 g/100 g,1.8 g/100 g,0.3 g/100 g,3.6 g/100 g,6.8 g/100 g,"Sirop de glucoza-fructoza, zahar, faina de GRAU, nuca de cocos 7%, gelatina comestibila de vita, grasimi vegetale (palmier, floarea soarelui, bumbac, rapita), agenti de afanare (carbonat acid de amoniu, carbonat acid de sodiu), sare, emulsifiant (lecitina de floarea soarelui), arome, conservant (METABISULFIT de sodiu).",Contine gluten si sulfiti. Poate contine lapte si oua in cantitati minime.
Snack Original 165g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Sare/Snack-Original-165g/p/75363,31 g/100 g,534 kcal/100 g,56 g/100 g,3.5 g/100 g,1.1 g/100 g,5.9 g/100 g,2.8 g/100 g,"Cartofi deshidratati, uleiuri vegetale (floarea soarelui, porumb), faina de orez, amidon de GRAU, faina de porumb, emulsificator E471, maltodextrina, sare, colorant (annatto norbixina).",Contine gluten.
Chipsuri din cartofi rumeniti in cuptor cu sare 125g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Sare/Chipsuri-din-cartofi-rumeniti-in-cuptor-cu-sare-125g/p/72304,14 g/100 g,443 kcal/100 g,71 g/100 g,4 g/100 g,1.4 g/100 g,5 g/100 g,1.7 g/100 g,"Fulgi din cartofi (62%), amidon, ulei de rapita, zahar, faina de GRAU, sare (1.3%), emulsifiant (lecitina de SOIA), dextroza.",Contine gluten si soia.
